id,terms
1,bassel
2,big data
3,cassandra
4,fatafat
5,hadoop
6,hbase
7,kafka
8,krishna
9,lalwani
10,ligadata
11,mahesh
12,ojjeh
13,open source
14,pmml
15,scala
16,uppala
