id,terms
1,deutsche
2,deutsche_news
3,fidelityinvestments
4,fidelity
5,mssb
6,morganstanley
7,morgan stanley
8,credit suisse
9,creditsuise
10,goldmansachs
11,goldman sachs
12,jpmorgan chase
13,merrill lynch
14,merrill
15,merrilllynch
16,citigroup
17,barclayscapital
18,ubs
19,hsbc
20,rbccapital
21,rbccapitalmarkets
22,bnpparibas
23,bnp paribas
24,rbsgroup
25,tdsecurities
26,td securities
27,bmo capital markets
28,bmocaptial
29,societegenerale
30,societe generale
31,blackstone

