id,terms
1,The Wall Street Journal
2,wsj
3,investors business daily
4,financial times
5,ft
6,investors
7,barrons
8,business week
9,businessweek
10,bw
11,the economist
12,economist
13,forbes
14,fortune
15,kiplinger
16,inside business
17,money magazine
18,insidebusiness
19,moneymagazine
20,theeconomist
21,investorsbusinessdaily

