id,terms
1,bank of america
2,bofa
3,bofa_careers
4,bofa_community
5,bofa_help
6,bofa_news
7,barclays
8,BarclaysCycle
9,BarclaysStockbroker
10,BarclaysWealth
11,wealthinsights
12,AskCiti
13,Citi
14,citibank
15,citibankaus
16,citicard
17,citigroup
18,CitiJobs
