id,terms
1,cake
2,canning
3,cook
4,cooking
5,flies
6,fly
7,food
8,fruit
9,fruitcake
10,pastry
11,pick
12,pie
13,plant
14,planting
15,recipie
16,salad
17,tart
18,tree
